ID	COGID	POS	CONCEPT	DOCULECT	ORIGINAL_CONCEPT	STEDT_SRCID	ORIGINAL_TAXNAME	ORIGINAL_ENTRY	MORPHEMES	NOTE	COGIDS	SOURCE	STEDT_GLOSS	CONCEPTICON_ID	STEDT_REFLEX	IPA	STEDT_CONCEPT	TOKENS	STEDT_RN	ALIGNMENT	STEDT_ANALYSIS	STEDT_ID
369	111	other	black	Atsi	black	1005.3	Atsi [Zaiwa] TBL	noʔ²¹  | 1005.30	black		92	TBL		163	noʔ²¹	noʔ²¹	black	n o ʔ ²¹	396807	n o ʔ ²¹	2483	13268
370	111	other	black	Bola	black	1005.32	Bola (Luxi) TBL	naʔ³¹  | 1005.32	black		92	TBL		163	naʔ³¹	naʔ³¹	black	n a ʔ ³¹	396809	n a ʔ ³¹	2483	5259
373	111	other	black	Lashi	black	1005.33	Leqi (Luxi) TBL	nɔːʔ³¹  | 1005.33	black		92	TBL		163	nɔːʔ³¹	nɔːʔ³¹	black	n ɔː ʔ ³¹	396810	n ɔː ʔ ³¹	2483	12267
374	111	other	black	Maru	black	1005.31	Langsu (Luxi) TBL	nɔʔ³¹  | 1005.31	black		92	TBL		163	nɔʔ³¹	nɔʔ³¹	black	n ɔ ʔ ³¹	396808	n ɔ ʔ ³¹	2483	13559
375	111	other	black	Xiandao	black	1005.29	Achang (Xiandao) TBL	nɔʔ⁵⁵  | 1005.29	black		92	TBL		163	nɔʔ⁵⁵	nɔʔ⁵⁵	black	n ɔ ʔ ⁵⁵	396806	n ɔ ʔ ⁵⁵	2483	12861
5528	111	other	black	Rangoon		1005.27			black		92	TBL		163	nɛʔ⁴	nɛʔ⁴	black	n ɛ ʔ ⁴	396804	n ɛ ʔ ⁴	2483	10692
5966	111	other	black	Written_Burmese		1005.26			black		92	TBL		163	nɑk⁴	nɑk⁴	black	n a k ⁴	396803	n a k ⁴	2483	13070
674	169	other	cold (of temperature)	Atsi	cold (weather, water)	1063.3	Atsi [Zaiwa] TBL	kjoʔ²¹  | 1063.30	cold	bad concept	153	TBL		1287	kjoʔ²¹	kjoʔ²¹	cold (water)	k j o ʔ ²¹	399721	k j o - ʔ ²¹	10003	7482
3337	12	other	correct (right)	Atsi	right / correct	1045.3	Atsi [Zaiwa] TBL	tʃo²¹  | 1045.30	correct		605	TBL		1725	tʃo²¹	tʃo²¹	right / correct	tʃ o ²¹	398784	tʃ o ²¹	5790	3186
3339	12	other	correct (right)	Bola	right / correct	1045.32	Bola (Luxi) TBL	tʃɔ³¹  | 1045.32	correct		605	TBL		1725	tʃɔ³¹	tʃɔ³¹	right / correct	tʃ ɔ ³¹	398786	tʃ ɔ ³¹	5790	12702
3343	12	other	correct (right)	Maru	right / correct	1045.31	Langsu (Luxi) TBL	tʃɔ³¹  | 1045.31	correct		605	TBL		1725	tʃɔ³¹	tʃɔ³¹	right / correct	tʃ ɔ ³¹	398785	tʃ ɔ ³¹	5790	13438
6142	86		dark	Achang_Longchuan	dark	1013.28	Achang (Longchuan)	ɕin⁵⁵	dark		1251	TBL		706		ɕin⁵⁵		ɕ i n ⁵⁵	36912	ɕ i n ⁵⁵	2672	11321
6201	84		dark	Maru	dark	1013.31	Langsu (Luxi)	nɔʔ³¹	black		92	TBL		706		nɔʔ³¹		n ɔ ʔ ³¹	44189	n ɔ ʔ ³¹	2483	13560
6304	84		dark	Atsi	dark	1013.3	Atsi [Zaiwa]	noʔ²¹	black		92	TBL		706		noʔ²¹		n o ʔ ²¹	42349	n o ʔ ²¹	2483	13269
6430	84		dark	Bola	dark	1013.32	Bola (Luxi)	naʔ³¹	black		92	TBL		706		naʔ³¹		n a ʔ ³¹	45981	n a ʔ ³¹	2483	5260
5459	287	other	dirty	Rangoon		1086.27			dirty1 dirty2		209 210	TBL		1230	ȵiʔ⁴pɑʔ⁴	ȵiʔ⁴pɑʔ⁴	dirty	nʲ i ʔ ⁴ + p ɑ ʔ ⁴	400876	nʲ i ʔ ⁴ ◦ p ɑ ʔ ⁴	2520 10000	5964
5898	287	other	dirty	Written_Burmese		1086.26			dirty1 dirty2		209 210	TBL		1230	ȵɑs⁴pɑt⁴	ȵɑs⁴pɑt⁴	dirty	ŋʲ a ts ⁴ + p a t ⁴	400875	ŋʲ a ts ⁴ ◦ p a t ⁴	2520 10005	3272
1039	329	other	dry	Atsi	dry	1028.3	Atsi [Zaiwa] TBL	xui⁵⁵  | 1028.30	dry		233	TBL		1398	xui⁵⁵	xui⁵⁵	dry	x u i ⁵⁵	397972	x u i ⁵⁵	3298	5098
1040	329	other	dry	Bola	dry	1028.32	Bola (Luxi) TBL	kja̱uʔ⁵⁵  | 1028.32	dry		232	TBL		1398	kja̱uʔ⁵⁵	kja̱uʔ⁵⁵	dry	k j a̰ u ʔ ⁵⁵	397974	k j a̰ u ʔ ⁵⁵	10011	6525
1043	329	other	dry	Lashi	dry	1028.33	Leqi (Luxi) TBL	kju̱ːʔ⁵⁵  | 1028.33	dry		232	TBL		1398	kju̱ːʔ⁵⁵	kju̱ːʔ⁵⁵	dry	k j ṵː ʔ ⁵⁵	397975	k j - ṵː ʔ ⁵⁵	10008	11619
1044	329	other	dry	Maru	dry	1028.31	Langsu (Luxi) TBL	fai⁵⁵  | 1028.31	dry		233	TBL		1398	fai⁵⁵	fai⁵⁵	dry	f a i ⁵⁵	397973	f a i ⁵⁵	3298	12327
5416	329	other	dry	Rangoon		1028.27			dry		232	TBL		1398	tɕhɑuʔ⁴	ʨʰɑuʔ⁴	dry	tɕʰ ɑ u ʔ ⁴	397969	tɕʰ - ɑ u ʔ ⁴	10001	3654
6144	94		early	Achang_Longchuan	early	1018.28	Achang (Longchuan)	nɔʔ⁵⁵	early		35	TBL		672		nɔʔ⁵⁵		n ɔ ʔ ⁵⁵	36917	n ɔ ʔ ⁵⁵	6227	10910
6202	94		early	Maru	early	1018.31	Langsu (Luxi)	nɔʔ⁵⁵	early		35	TBL		672		nɔʔ⁵⁵		n ɔ ʔ ⁵⁵	44194	n ɔ ʔ ⁵⁵	6227	13561
